,movie,year,imdb_rate,metascore,votes,rating,genre,runtime_min,grosess
536,I Origins,2014,7.3,57,"130,899",R,"['Drama', ' Mystery', ' Romance']",106,$0.33M
537,Lost in Space,1998,5.2,42,"74,089",PG-13,"['Action', ' Adventure', ' Family']",130,$69.12M
538,Onward,2020,7.4,61,"162,874",PG,"['Animation', ' Action', ' Adventure']",102,$61.56M
539,Buck Rogers in the 25th Century,1981,6.9,45,"10,037",TV-14,"['Action', ' Adventure', ' Sci-Fi']",60,-
540,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,45,"59,806",PG,"['Action', ' Adventure', ' Comedy']",88,$78.66M
541,Okja,2017,7.3,75,"128,938",TV-MA,"['Action', ' Adventure', ' Drama']",120,-
542,Jurassic Park III,2001,5.9,42,"334,940",PG-13,"['Action', ' Adventure', ' Sci-Fi']",92,$181.17M
543,Significant Other,2022,5.7,57,"11,506",R,"['Drama', ' Mystery', ' Sci-Fi']",84,-
544,Evolution,2001,6.1,40,"133,797",PG-13,"['Comedy', ' Sci-Fi']",101,$38.35M
545,The Happening,2008,5.0,34,"213,665",R,"['Adventure', ' Drama', ' Sci-Fi']",91,$64.51M
546,Freaks,2018,6.7,63,"38,344",R,"['Drama', ' Mystery', ' Sci-Fi']",105,-
547,Captive State,2019,6.0,54,"56,503",PG-13,"['Action', ' Horror', ' Sci-Fi']",109,$5.96M
548,Daybreakers,2009,6.4,57,"133,115",R,"['Action', ' Horror', ' Sci-Fi']",98,$30.10M
549,Pitch Black,2000,7.0,49,"249,582",R,"['Action', ' Horror', ' Sci-Fi']",109,$39.24M
550,The Divergent Series: Insurgent,2015,6.2,42,"248,982",PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,$130.18M
551,The Dead Zone,1983,7.2,69,"74,965",R,"['Drama', ' Horror', ' Sci-Fi']",103,$20.77M
552,Dreamcatcher,2003,5.5,35,"95,177",R,"['Drama', ' Horror', ' Sci-Fi']",134,$33.72M
553,The Rocketeer,1991,6.5,61,"60,571",PG,"['Action', ' Adventure', ' Family']",108,$46.70M
554,The Cave,2005,5.1,30,"40,625",PG-13,"['Adventure', ' Horror', ' Sci-Fi']",97,$15.01M
555,The Invisible Man,1933,7.6,87,"38,443",TV-PG,"['Horror', ' Sci-Fi']",71,-
556,Speed Racer,2008,6.1,37,"77,088",PG,"['Action', ' Adventure', ' Comedy']",135,$43.95M
557,The Arrival,1996,6.2,56,"37,274",PG-13,"['Mystery', ' Sci-Fi', ' Thriller']",115,$14.05M
558,Solaris,1972,8.0,93,"95,957",PG,"['Drama', ' Mystery', ' Sci-Fi']",167,-
559,Reminiscence,2021,5.9,46,"62,340",PG-13,"['Mystery', ' Romance', ' Sci-Fi']",116,-
560,Journey 2: The Mysterious Island,2012,5.7,41,"109,560",PG,"['Action', ' Adventure', ' Comedy']",94,$103.86M
561,The Void,2016,5.9,62,"40,019",Not Rated,"['Horror', ' Mystery', ' Sci-Fi']",90,$0.15M
562,"Dude, Where's My Car?",2000,5.5,30,"143,939",PG-13,"['Comedy', ' Mystery', ' Sci-Fi']",83,$46.73M
563,The Purge: Election Year,2016,6.0,55,"107,208",R,"['Action', ' Horror', ' Sci-Fi']",108,$79.21M
564,RoboCop 2,1990,5.8,42,"90,432",R,"['Action', ' Crime', ' Sci-Fi']",117,$45.68M
565,Next,2007,6.2,42,"163,797",PG-13,"['Action', ' Sci-Fi', ' Thriller']",96,$18.21M
566,The Day the Earth Stood Still,2008,5.5,40,"176,234",PG-13,"['Adventure', ' Drama', ' Sci-Fi']",104,$79.37M
567,The Andromeda Strain,1971,7.2,60,"39,482",G,"['Mystery', ' Sci-Fi', ' Thriller']",131,$3.42M
568,Bill & Ted Face the Music,2020,5.9,65,"51,634",PG-13,"['Adventure', ' Comedy', ' Music']",91,-
569,"I, Frankenstein",2014,5.1,30,"83,050",PG-13,"['Action', ' Fantasy', ' Sci-Fi']",92,$19.08M
570,Night of the Comet,1984,6.3,59,"22,966",PG-13,"['Comedy', ' Horror', ' Sci-Fi']",95,$14.42M
571,Alligator,1980,6.1,62,"15,149",R,"['Horror', ' Sci-Fi', ' Thriller']",91,-
572,Explorers,1985,6.4,58,"23,243",PG,"['Adventure', ' Comedy', ' Family']",109,$9.87M
573,Moonraker,1979,6.2,66,"106,273",PG,"['Action', ' Adventure', ' Sci-Fi']",126,$70.31M
574,Frequency,2000,7.4,67,"113,524",PG-13,"['Crime', ' Drama', ' Mystery']",118,$45.01M
575,Resident Evil: Apocalypse,2004,6.1,35,"206,524",R,"['Action', ' Horror', ' Sci-Fi']",94,$51.20M
576,The House with a Clock in Its Walls,2018,6.1,57,"54,166",PG,"['Comedy', ' Family', ' Fantasy']",105,$68.55M
577,Bloodshot,2020,5.7,44,"82,574",PG-13,"['Action', ' Adventure', ' Sci-Fi']",109,$12.56M
578,Creature from the Black Lagoon,1954,6.9,68,"32,934",G,"['Horror', ' Sci-Fi']",79,$1.30M
579,Mad Max Beyond Thunderdome,1985,6.2,71,"144,072",PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,$36.20M
580,Disaster Movie,2008,1.9,15,"93,711",PG-13,"['Comedy', ' Sci-Fi']",87,$14.19M
581,Gemini Man,2019,5.7,38,"118,311",PG-13,"['Action', ' Sci-Fi', ' Thriller']",117,$48.55M
582,Heavy Metal,1981,6.6,51,"37,225",R,"['Animation', ' Adventure', ' Fantasy']",86,-
583,The Wandering Earth II,2022,7.0,56,"11,471",16+,"['Action', ' Adventure', ' Drama']",173,-
584,Spy Kids 4: All the Time in the World,2011,3.5,37,"27,658",PG,"['Action', ' Adventure', ' Comedy']",89,$38.54M
585,Cowboys & Aliens,2011,6.0,50,"228,529",PG-13,"['Action', ' Drama', ' Sci-Fi']",119,$100.24M
586,Absolutely Anything,2015,6.0,31,"46,489",R,"['Comedy', ' Sci-Fi']",85,-
587,Spy Kids 2: Island of Lost Dreams,2002,5.3,66,"71,806",PG,"['Action', ' Adventure', ' Comedy']",100,$85.85M
588,Battlestar Galactica,1979,7.2,39,"16,874",TV-PG,"['Action', ' Adventure', ' Sci-Fi']",60,-
589,The Brood,1979,6.8,63,"33,138",R,"['Horror', ' Sci-Fi']",92,-
590,Mimic,1997,6.0,55,"54,349",R,"['Horror', ' Sci-Fi']",105,$25.48M
591,Flatliners,2017,5.2,27,"49,817",PG-13,"['Drama', ' Horror', ' Mystery']",109,$16.88M
592,Invasion of the Body Snatchers,1956,7.7,92,"53,187",Approved,"['Drama', ' Horror', ' Sci-Fi']",80,-
593,The Manchurian Candidate,2004,6.6,76,"114,652",R,"['Drama', ' Mystery', ' Sci-Fi']",129,$65.96M
594,The Emoji Movie,2017,3.4,12,"69,149",PG,"['Animation', ' Adventure', ' Comedy']",86,$86.09M
595,Landscape with Invisible Hand,2023,6.0,53,"1,377",R,"['Comedy', ' Drama', ' Sci-Fi']",105,-
596,Vampire Hunter D: Bloodlust,2000,7.6,62,"34,438",R,"['Animation', ' Action', ' Drama']",103,$0.15M
597,Repo! The Genetic Opera,2008,6.4,32,"26,063",R,"['Horror', ' Musical', ' Sci-Fi']",98,$0.14M
598,The Colony,2021,5.4,52,"11,405",R,"['Action', ' Adventure', ' Sci-Fi']",104,-
599,The Wandering Earth,2019,5.9,57,"34,886",TV-MA,"['Action', ' Adventure', ' Sci-Fi']",125,$5.88M
600,Jupiter Ascending,2015,5.3,40,"192,561",PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,$47.39M
601,Species II,1998,4.5,19,"30,635",R,"['Action', ' Horror', ' Sci-Fi']",93,$19.17M
602,Star Trek: The Motion Picture,1979,6.4,50,"94,760",G,"['Adventure', ' Mystery', ' Sci-Fi']",143,$82.26M
603,R.I.P.D.,2013,5.6,25,"141,113",PG-13,"['Action', ' Adventure', ' Comedy']",96,$33.62M
604,Songbird,2020,4.8,27,"11,149",PG-13,"['Drama', ' Sci-Fi', ' Thriller']",84,-
605,Night of the Creeps,1986,6.7,62,"25,282",R,"['Comedy', ' Horror', ' Sci-Fi']",88,$0.59M
606,Level 16,2018,6.1,46,"15,021",Not Rated,"['Drama', ' Mystery', ' Sci-Fi']",102,-
607,Hellboy II: The Golden Army,2008,7.0,78,"281,484",PG-13,"['Action', ' Adventure', ' Fantasy']",120,$75.75M
608,Take Shelter,2011,7.3,85,"105,417",R,"['Drama', ' Horror', ' Sci-Fi']",120,$1.73M
609,Left Behind,2014,3.1,12,"41,705",PG-13,"['Action', ' Fantasy', ' Sci-Fi']",110,$14.00M
610,The Watch,2012,5.7,36,"131,498",R,"['Comedy', ' Sci-Fi']",102,$35.35M
611,Crater,2023,5.3,65,"3,731",PG,"['Adventure', ' Drama', ' Sci-Fi']",105,-
612,King Kong,1933,7.9,92,"89,067",Passed,"['Adventure', ' Horror', ' Sci-Fi']",100,$10.00M
613,Mortal Kombat: Annihilation,1997,3.6,11,"57,186",PG-13,"['Action', ' Adventure', ' Fantasy']",95,$35.93M
614,The Last Starfighter,1984,6.7,67,"44,970",PG,"['Action', ' Adventure', ' Sci-Fi']",101,$28.73M
615,America: The Motion Picture,2021,5.6,38,"7,142",TV-MA,"['Animation', ' Action', ' Adventure']",98,-
616,Skyline,2010,4.5,26,"91,485",PG-13,"['Action', ' Sci-Fi', ' Thriller']",92,$21.37M
617,The Lair,2022,4.6,41,"4,470",Unrated,"['Action', ' Horror', ' Sci-Fi']",97,-
618,Nausicaä of the Valley of the Wind,1984,8.0,86,"177,078",PG,"['Animation', ' Adventure', ' Sci-Fi']",117,$0.50M
619,Godzilla,1954,7.5,78,"36,547",Not Rated,"['Horror', ' Sci-Fi']",96,$2.42M
620,If I Stay,2014,6.7,46,"126,976",PG-13,"['Drama', ' Fantasy', ' Music']",107,$50.47M
621,Superintelligence,2020,5.4,41,"12,648",PG,"['Action', ' Comedy', ' Romance']",106,-
622,Doom,2005,5.2,34,"117,193",R,"['Action', ' Horror', ' Sci-Fi']",105,$28.21M
623,Coneheads,1993,5.4,49,"56,877",PG,"['Comedy', ' Sci-Fi']",88,$21.27M
624,How It Ends,2018,5.0,36,"56,468",TV-MA,"['Action', ' Drama', ' Horror']",113,-
625,TMNT,2007,6.2,41,"68,127",PG,"['Animation', ' Action', ' Adventure']",87,$54.15M
626,Extinction,2018,5.8,40,"56,027",TV-MA,"['Action', ' Drama', ' Sci-Fi']",95,-
627,The Midnight Sky,2020,5.7,58,"87,391",PG-13,"['Adventure', ' Drama', ' Sci-Fi']",118,-
628,Piranha 3DD,2012,3.8,24,"44,742",R,"['Comedy', ' Horror', ' Sci-Fi']",83,$0.38M
629,Escape from L.A.,1996,5.7,54,"78,635",R,"['Action', ' Adventure', ' Sci-Fi']",101,$25.48M
630,The Core,2003,5.5,48,"105,556",PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,$31.19M
631,Land of the Lost,2009,5.3,32,"74,075",PG-13,"['Action', ' Adventure', ' Comedy']",102,$49.44M
632,Death Race 2000,1975,6.2,58,"29,864",R,"['Action', ' Comedy', ' Sci-Fi']",80,$8.00M
633,Cargo,2017,6.3,65,"46,776",TV-MA,"['Drama', ' Horror', ' Sci-Fi']",105,-
634,Chicken Little,2005,5.7,48,"98,189",G,"['Animation', ' Adventure', ' Comedy']",81,$135.39M
635,Universal Soldier,1992,6.1,35,"94,253",R,"['Action', ' Sci-Fi']",102,$36.30M
636,Captain Underpants: The First Epic Movie,2017,6.2,69,"31,265",PG,"['Animation', ' Action', ' Adventure']",89,$73.92M
637,Zardoz,1974,5.8,46,"24,031",R,"['Adventure', ' Fantasy', ' Sci-Fi']",105,$0.07M
638,The Secret of NIMH,1982,7.5,76,"43,755",G,"['Animation', ' Adventure', ' Drama']",82,$10.14M
639,Johnny Mnemonic,1995,5.6,36,"75,009",R,"['Action', ' Drama', ' Sci-Fi']",96,$19.08M
640,Bedtime Stories,2008,6.0,33,"99,584",PG,"['Adventure', ' Comedy', ' Family']",99,$110.10M
641,Westworld,1973,6.9,77,"61,709",PG,"['Action', ' Drama', ' Sci-Fi']",88,$16.06M
642,Pi,1998,7.3,72,"184,294",R,"['Drama', ' Horror', ' Mystery']",84,$3.22M
643,Project Wolf Hunting,2022,6.1,53,"5,724",16+,"['Action', ' Crime', ' Horror']",122,-
644,Krull,1983,6.1,45,"35,420",PG,"['Action', ' Adventure', ' Fantasy']",121,$16.52M
645,Europa Report,2013,6.4,68,"74,102",PG-13,"['Adventure', ' Drama', ' Mystery']",90,$0.13M
646,Aliens vs. Predator: Requiem,2007,4.6,29,"130,743",R,"['Action', ' Adventure', ' Horror']",94,$41.80M
647,Time Bandits,1981,6.9,79,"66,828",PG,"['Adventure', ' Comedy', ' Fantasy']",110,$42.37M
648,Real Genius,1985,6.9,71,"36,840",PG,"['Comedy', ' Romance', ' Sci-Fi']",108,$13.00M
649,Chip 'n Dale: Rescue Rangers,2022,7.0,66,"45,271",PG,"['Action', ' Adventure', ' Comedy']",97,-
650,Allegiant,2016,5.7,33,"129,891",PG-13,"['Action', ' Adventure', ' Mystery']",120,$66.18M
651,Time Trap,2017,6.2,46,"41,387",Not Rated,"['Action', ' Adventure', ' Mystery']",87,-
652,Chopping Mall,1986,5.6,22,"16,483",R,"['Horror', ' Sci-Fi']",77,-
653,Shivers,1975,6.3,58,"22,905",R,"['Horror', ' Sci-Fi']",87,-
654,The Double,2013,6.5,68,"52,277",R,"['Comedy', ' Drama', ' Mystery']",93,$0.20M
655,The Devil Conspiracy,2022,4.5,37,"2,711",R,"['Horror', ' Sci-Fi', ' Thriller']",111,-
656,Black Crab,2022,5.7,54,"24,816",TV-MA,"['Action', ' Adventure', ' Drama']",114,-
657,After Earth,2013,4.8,33,"206,547",PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,$60.52M
658,Resident Evil: The Final Chapter,2016,5.5,49,"98,779",R,"['Action', ' Horror', ' Sci-Fi']",107,$26.83M
659,Solaris,2002,6.2,65,"85,177",PG-13,"['Drama', ' Mystery', ' Romance']",99,$14.97M
660,Push,2009,6.1,36,"114,478",PG-13,"['Action', ' Sci-Fi', ' Thriller']",111,$31.81M
661,The Rage: Carrie 2,1999,4.8,42,"17,397",R,"['Drama', ' Horror', ' Sci-Fi']",104,$17.76M
662,Resident Evil: Retribution,2012,5.3,39,"147,592",R,"['Action', ' Horror', ' Sci-Fi']",95,$42.35M
663,Psycho Goreman,2020,6.2,67,"14,491",Not Rated,"['Comedy', ' Horror', ' Sci-Fi']",95,-
664,Star Trek: First Contact,1996,7.6,71,"130,213",PG-13,"['Action', ' Adventure', ' Drama']",111,$92.00M
665,Flatliners,1990,6.5,55,"91,198",R,"['Drama', ' Horror', ' Sci-Fi']",115,$61.49M
666,The Host,2013,5.8,35,"117,500",PG-13,"['Action', ' Adventure', ' Drama']",125,$26.63M
667,Silent Running,1972,6.6,67,"30,787",G,"['Drama', ' Sci-Fi']",89,$0.69M
668,Eight Legged Freaks,2002,5.5,53,"59,379",PG-13,"['Action', ' Adventure', ' Comedy']",99,$17.32M
669,Archive,2020,6.4,67,"25,286",TV-MA,"['Drama', ' Mystery', ' Sci-Fi']",109,-
670,Piranha,1978,5.9,71,"23,765",R,"['Comedy', ' Horror', ' Sci-Fi']",94,$6.00M
671,The Darkest Hour,2011,4.9,18,"63,018",PG-13,"['Action', ' Adventure', ' Horror']",89,$21.43M
672,Rollerball,1975,6.6,56,"27,793",Approved,"['Action', ' Sci-Fi', ' Sport']",125,$30.00M
673,The Boys from Brazil,1978,7.0,40,"29,795",R,"['Drama', ' Mystery', ' Sci-Fi']",125,$19.00M
674,Mute,2018,5.4,35,"37,342",TV-MA,"['Mystery', ' Sci-Fi', ' Thriller']",126,-
675,I Am Mother,2019,6.7,64,"96,738",TV-14,"['Drama', ' Mystery', ' Sci-Fi']",113,-
676,Barb Wire,1996,3.5,40,"30,666",R,"['Action', ' Sci-Fi']",98,$3.79M
677,Voyagers,2021,5.4,44,"24,868",PG-13,"['Adventure', ' Sci-Fi', ' Thriller']",108,-
678,Awake,2021,4.9,35,"24,882",TV-MA,"['Action', ' Adventure', ' Drama']",96,-
679,Gamer,2009,5.7,27,"138,293",R,"['Action', ' Sci-Fi', ' Thriller']",95,$20.49M
680,UHF,1989,6.9,32,"30,647",PG-13,"['Comedy', ' Sci-Fi']",97,$6.16M
681,Timecop,1994,5.9,48,"62,546",R,"['Action', ' Crime', ' Sci-Fi']",99,$44.85M
682,Bicentennial Man,1999,6.9,42,"122,366",PG,"['Drama', ' Romance', ' Sci-Fi']",132,$58.22M
683,Paycheck,2003,6.3,43,"111,762",PG-13,"['Action', ' Mystery', ' Sci-Fi']",119,$53.79M
684,Earth Girls Are Easy,1988,5.4,66,"24,655",PG,"['Comedy', ' Musical', ' Romance']",100,$3.92M
685,Anon,2018,6.1,54,"47,400",TV-MA,"['Crime', ' Mystery', ' Sci-Fi']",100,-
686,RoboCop 3,1993,4.1,40,"52,758",PG-13,"['Action', ' Crime', ' Sci-Fi']",104,$10.70M
687,Underworld: Awakening,2012,6.3,39,"159,168",R,"['Action', ' Fantasy', ' Horror']",88,$62.32M
688,Spring,2014,6.7,70,"30,480",Not Rated,"['Horror', ' Romance', ' Sci-Fi']",109,$0.05M
689,Battle Los Angeles,2011,5.7,37,"183,574",PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,$83.55M
690,Phenomenon,1996,6.4,41,"82,288",PG,"['Drama', ' Fantasy', ' Romance']",123,$104.64M
691,Spies in Disguise,2019,6.8,54,"54,408",PG,"['Animation', ' Action', ' Adventure']",102,$66.76M
692,Return of the Living Dead II,1988,5.7,45,"20,950",R,"['Comedy', ' Horror', ' Sci-Fi']",89,$9.21M
693,The First Purge,2018,5.2,54,"68,244",R,"['Action', ' Horror', ' Sci-Fi']",97,$69.49M
694,The Omega Man,1971,6.4,56,"33,334",PG,"['Action', ' Drama', ' Sci-Fi']",98,$8.72M
695,Ghosts of Mars,2001,4.9,35,"56,712",R,"['Action', ' Horror', ' Sci-Fi']",98,$8.43M
696,Æon Flux,2005,5.4,36,"131,477",PG-13,"['Action', ' Adventure', ' Sci-Fi']",93,$25.86M
697,Attack the Block,2011,6.7,75,"110,262",R,"['Action', ' Adventure', ' Comedy']",88,$1.02M
698,The Girl with All the Gifts,2016,6.6,67,"63,129",R,"['Action', ' Adventure', ' Drama']",111,-
699,Sphere,1998,6.1,35,"110,590",PG-13,"['Action', ' Mystery', ' Sci-Fi']",134,$37.02M
700,The Day the Earth Stood Still,1951,7.8,83,"84,575",G,"['Drama', ' Sci-Fi']",92,-
701,Sea Fever,2019,5.8,60,"13,304",TV-14,"['Drama', ' Horror', ' Mystery']",95,-
702,The Time Traveler's Wife,2009,7.1,47,"155,617",PG-13,"['Comedy', ' Drama', ' Fantasy']",107,$63.41M
703,Star Trek VI: The Undiscovered Country,1991,7.2,65,"79,459",PG,"['Action', ' Adventure', ' Sci-Fi']",110,$74.89M
704,Mighty Morphin Power Rangers: Once & Always,2023,5.7,62,"6,087",TV-Y7-FV,"['Action', ' Adventure', ' Family']",55,-
705,The Signal,2014,6.0,54,"68,200",PG-13,"['Drama', ' Mystery', ' Sci-Fi']",97,$0.60M
706,The Saint,1997,6.2,50,"71,181",PG-13,"['Action', ' Adventure', ' Romance']",116,$61.36M
707,Hardcore Henry,2015,6.7,51,"99,977",R,"['Action', ' Adventure', ' Sci-Fi']",96,$9.25M
708,New Rose Hotel,1998,5.1,31,"5,899",R,"['Drama', ' Mystery', ' Sci-Fi']",93,$0.02M
709,Hotel Artemis,2018,6.1,58,"56,898",R,"['Action', ' Crime', ' Drama']",94,$6.71M
710,The Space Between Us,2017,6.4,33,"55,346",PG-13,"['Drama', ' Romance', ' Sci-Fi']",120,$7.89M
711,The One,2001,5.9,25,"94,772",PG-13,"['Action', ' Sci-Fi', ' Thriller']",87,$43.91M
712,Stay Alive,2006,5.0,24,"33,502",PG-13,"['Fantasy', ' Horror', ' Mystery']",85,$23.09M
713,Cyborg,1989,5.0,24,"33,140",R,"['Action', ' Sci-Fi', ' Thriller']",86,$10.17M
714,Firestarter,1984,6.0,50,"36,048",R,"['Action', ' Horror', ' Sci-Fi']",114,$15.10M
715,Star Trek IV: The Voyage Home,1986,7.3,71,"89,775",PG,"['Action', ' Adventure', ' Comedy']",119,$109.71M
716,Perfect Sense,2011,7.0,55,"62,606",R,"['Drama', ' Romance', ' Sci-Fi']",92,$0.00M
717,Village of the Damned,1995,5.6,41,"33,542",R,"['Horror', ' Sci-Fi', ' Thriller']",98,$9.42M
718,*batteries not included,1987,6.6,54,"37,047",PG,"['Comedy', ' Family', ' Fantasy']",106,$32.95M
719,Volcano,1997,5.5,55,"80,062",PG-13,"['Action', ' Drama', ' Sci-Fi']",104,$49.32M
720,City of Ember,2008,6.4,58,"68,702",PG,"['Adventure', ' Drama', ' Family']",90,$7.87M
721,Project Power,2020,6.0,51,"95,086",R,"['Action', ' Crime', ' Sci-Fi']",113,-
722,Citizen Toxie: The Toxic Avenger IV,2000,6.0,41,"6,018",R,"['Action', ' Comedy', ' Fantasy']",109,-
723,Surrogates,2009,6.3,45,"178,702",PG-13,"['Action', ' Sci-Fi', ' Thriller']",89,$38.58M
724,Supergirl,1984,4.4,41,"23,488",PG,"['Action', ' Adventure', ' Fantasy']",124,$13.60M
725,Brainstorm,1983,6.4,57,"12,688",PG,"['Sci-Fi', ' Thriller']",106,$8.90M
726,Land of the Dead,2005,6.2,71,"99,433",R,"['Horror', ' Sci-Fi', ' Thriller']",93,$20.70M
727,A Scanner Darkly,2006,7.0,73,"115,633",R,"['Animation', ' Comedy', ' Crime']",100,$5.50M
728,On the Silver Globe,1988,7.2,72,"4,095",Unrated,"['Adventure', ' Drama', ' Fantasy']",166,-
729,Battle Beyond the Stars,1980,5.5,59,"9,844",PG,"['Action', ' Adventure', ' Sci-Fi']",104,-
730,The Fly II,1989,5.1,36,"24,173",R,"['Drama', ' Horror', ' Sci-Fi']",105,$20.02M
731,Titan A.E.,2000,6.6,48,"63,115",PG,"['Animation', ' Action', ' Adventure']",94,$22.75M
732,The Relic,1997,5.8,55,"29,518",R,"['Horror', ' Mystery', ' Sci-Fi']",110,$33.96M
733,Quarantine,2008,5.9,53,"75,871",R,"['Horror', ' Sci-Fi', ' Thriller']",89,$31.69M
734,The Handmaid's Tale,1990,6.0,53,"10,347",R,"['Drama', ' Romance', ' Sci-Fi']",108,$4.96M
735,After Yang,2021,6.7,78,"20,788",PG,"['Drama', ' Sci-Fi']",96,-
736,Inspector Gadget,1999,4.2,36,"50,121",PG,"['Action', ' Adventure', ' Comedy']",78,$97.40M
737,Repo Man,1984,6.9,82,"39,750",R,"['Action', ' Comedy', ' Crime']",92,$3.57M
738,Starman,1984,7.0,70,"50,297",PG,"['Romance', ' Sci-Fi']",115,$28.70M
739,Something in the Dirt,2022,5.9,76,"4,554",R,"['Comedy', ' Horror', ' Mystery']",116,-
740,Scoob!,2020,5.6,43,"29,134",PG,"['Animation', ' Adventure', ' Comedy']",93,$2.19M
741,Sweetheart,2019,5.8,71,"9,323",PG-13,"['Adventure', ' Horror', ' Sci-Fi']",82,-
742,The Final Countdown,1980,6.6,51,"26,116",PG,"['Action', ' Adventure', ' Sci-Fi']",103,$16.65M
743,Time After Time,1979,7.1,69,"20,119",PG,"['Adventure', ' Drama', ' Sci-Fi']",112,-
744,The Friendship Game,2022,3.3,26,"1,081",16+,"['Horror', ' Sci-Fi']",87,-
745,Cloudy with a Chance of Meatballs 2,2013,6.3,59,"111,284",PG,"['Animation', ' Adventure', ' Comedy']",95,$119.79M
746,A Wrinkle in Time,2018,4.3,53,"46,984",PG,"['Adventure', ' Drama', ' Family']",109,$100.48M
747,K-PAX,2001,7.4,49,"190,322",PG-13,"['Drama', ' Mystery', ' Sci-Fi']",120,$50.34M
748,Womb,2010,6.3,48,"14,913",Not Rated,"['Drama', ' Romance', ' Sci-Fi']",111,-
749,Stowaway,2021,5.6,63,"50,190",TV-MA,"['Adventure', ' Sci-Fi', ' Thriller']",116,-
750,Timeline,2003,5.6,29,"64,994",PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,$19.48M
751,Airplane II: The Sequel,1982,6.1,48,"55,424",PG,"['Comedy', ' Sci-Fi']",85,$27.15M
752,Resident Evil: Extinction,2007,6.2,41,"202,240",R,"['Action', ' Horror', ' Sci-Fi']",94,$50.65M
753,Split Second,1992,6.0,26,"16,101",R,"['Action', ' Crime', ' Horror']",90,$5.43M
754,The Jacket,2005,7.1,44,"117,644",R,"['Drama', ' Fantasy', ' Mystery']",103,$6.30M
755,Altered States,1980,6.9,58,"37,370",R,"['Horror', ' Sci-Fi', ' Thriller']",102,$19.85M
756,Darkman,1990,6.4,65,"68,183",R,"['Action', ' Sci-Fi', ' Thriller']",96,$33.88M
757,Timecrimes,2007,7.1,68,"67,213",R,"['Horror', ' Mystery', ' Sci-Fi']",92,$0.04M
758,The Lego Ninjago Movie,2017,6.0,55,"28,931",PG,"['Animation', ' Action', ' Adventure']",101,$59.28M
759,Ice Age: Collision Course,2016,5.7,34,"72,139",PG,"['Animation', ' Adventure', ' Comedy']",94,$64.06M
760,The Thirteenth Floor,1999,7.0,36,"75,560",R,"['Mystery', ' Sci-Fi', ' Thriller']",100,$15.50M
761,Doomsday,2008,5.9,51,"78,988",R,"['Action', ' Sci-Fi', ' Thriller']",105,$10.96M
762,Southland Tales,2006,5.3,44,"39,969",R,"['Comedy', ' Drama', ' Mystery']",145,$0.28M
763,Belle,2021,7.1,83,"15,720",PG,"['Animation', ' Adventure', ' Drama']",121,-
764,Race to Witch Mountain,2009,5.7,52,"62,072",PG,"['Action', ' Adventure', ' Family']",98,$67.17M
765,Star Trek: Generations,1994,6.6,55,"85,631",PG,"['Action', ' Adventure', ' Mystery']",118,$75.67M
766,Chain Reaction,1996,5.6,43,"55,050",PG-13,"['Action', ' Drama', ' Sci-Fi']",107,$21.23M
767,The Stepford Wives,2004,5.3,42,"68,686",PG-13,"['Comedy', ' Horror', ' Sci-Fi']",93,$59.48M
768,Zapped!,1982,4.9,10,"7,375",R,"['Comedy', ' Fantasy', ' Sci-Fi']",98,$16.90M
769,Superman IV: The Quest for Peace,1987,3.7,24,"51,554",PG,"['Action', ' Adventure', ' Sci-Fi']",90,$15.68M
770,Star Trek: Insurrection,1998,6.4,64,"78,240",PG,"['Action', ' Adventure', ' Sci-Fi']",103,$70.12M
771,The Nutty Professor,1996,5.7,62,"121,592",PG-13,"['Comedy', ' Romance', ' Sci-Fi']",95,$128.81M
772,The Black Hole,1979,5.9,52,"27,237",PG,"['Action', ' Sci-Fi']",98,-
773,Priest,2011,5.7,41,"122,765",PG-13,"['Action', ' Fantasy', ' Horror']",87,$29.14M
774,2046,2004,7.4,78,"60,470",R,"['Drama', ' Romance', ' Sci-Fi']",129,$1.44M
775,The Vast of Night,2019,6.7,84,"43,107",PG-13,"['Drama', ' Mystery', ' Sci-Fi']",91,-
776,Morgan,2016,5.8,48,"45,478",R,"['Action', ' Horror', ' Sci-Fi']",92,$3.91M
777,Victor Frankenstein,2015,5.9,36,"58,995",PG-13,"['Drama', ' Horror', ' Sci-Fi']",110,$5.78M
778,The X Files,1998,7.0,60,"108,656",PG-13,"['Drama', ' Mystery', ' Sci-Fi']",121,$83.90M
779,The Artifice Girl,2022,6.6,60,"7,606",,"['Mystery', ' Sci-Fi', ' Thriller']",93,-
780,Aporia,2023,5.3,60,480,R,"['Drama', ' Sci-Fi']",104,-
781,The Invasion,2007,5.9,45,"81,331",PG-13,"['Sci-Fi', ' Thriller']",99,$15.07M
782,Firestarter,2022,4.6,32,"20,097",R,"['Drama', ' Horror', ' Sci-Fi']",94,-
783,Smilla's Sense of Snow,1997,6.3,45,"14,938",R,"['Crime', ' Drama', ' Mystery']",121,$2.22M
