,movie,year,imdb_rate,metascore,votes,rating,genre,runtime_min,grosess
358,Back to the Future Part III,1990,7.4,55,"469,152",PG,"['Adventure', ' Comedy', ' Sci-Fi']",118,$87.73M
359,In the Tall Grass,2019,5.5,46,"62,092",TV-MA,"['Horror', ' Mystery', ' Sci-Fi']",101,-
360,Lilo & Stitch,2002,7.3,74,"204,863",PG,"['Animation', ' Adventure', ' Comedy']",85,$145.79M
361,Deep Impact,1998,6.2,40,"186,435",PG-13,"['Action', ' Drama', ' Sci-Fi']",120,$140.46M
362,The Wolverine,2013,6.7,61,"483,710",PG-13,"['Action', ' Sci-Fi']",126,$132.56M
363,Independence Day: Resurgence,2016,5.2,32,"185,862",PG-13,"['Action', ' Adventure', ' Sci-Fi']",120,$103.14M
364,Dark Phoenix,2019,5.7,43,"198,705",PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,$65.85M
365,Blade: Trinity,2004,5.8,38,"185,013",R,"['Action', ' Horror', ' Sci-Fi']",113,$52.41M
366,Bumblebee,2018,6.7,66,"182,553",PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,$127.20M
367,Demolition Man,1993,6.7,34,"187,784",R,"['Action', ' Sci-Fi', ' Thriller']",115,$58.06M
368,Planet of the Apes,1968,8.0,79,"188,021",G,"['Adventure', ' Sci-Fi']",112,$33.40M
369,Star Trek Beyond,2016,7.0,68,"254,644",PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,$158.85M
370,Wreck-It Ralph,2012,7.7,72,"445,969",PG,"['Animation', ' Adventure', ' Comedy']",101,$189.42M
371,Equilibrium,2002,7.3,33,"341,952",R,"['Action', ' Drama', ' Sci-Fi']",107,$1.20M
372,Real Steel,2011,7.1,56,"347,073",PG-13,"['Action', ' Drama', ' Sci-Fi']",127,$85.47M
373,Galaxy Quest,1999,7.4,70,"172,001",PG,"['Adventure', ' Comedy', ' Sci-Fi']",102,$71.58M
374,Battlefield Earth,2000,2.5,9,"82,250",PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,$21.47M
375,Captain America: The Winter Soldier,2014,7.8,70,"880,871",PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,$259.77M
376,RoboCop,2014,6.1,52,"236,037",PG-13,"['Action', ' Crime', ' Sci-Fi']",117,$58.61M
377,Cube,1997,7.1,61,"242,478",R,"['Horror', ' Mystery', ' Sci-Fi']",90,$0.50M
378,Phantasm,1979,6.6,72,"39,929",R,"['Horror', ' Sci-Fi']",89,$11.99M
379,Superman III,1983,5.0,44,"73,412",PG,"['Action', ' Adventure', ' Comedy']",125,$59.95M
380,Treasure Planet,2002,7.2,60,"128,315",PG,"['Animation', ' Adventure', ' Family']",95,$38.18M
381,Cars 2,2011,6.2,57,"208,091",G,"['Animation', ' Adventure', ' Comedy']",106,$191.45M
382,The Darkest Minds,2018,5.7,39,"34,862",PG-13,"['Action', ' Adventure', ' Drama']",104,$12.70M
383,Cosmic Sin,2021,2.5,9,"14,718",R,"['Action', ' Sci-Fi']",88,-
384,Shin Godzilla,2016,6.8,67,"30,982",Not Rated,"['Action', ' Drama', ' Horror']",120,$1.92M
385,Bill & Ted's Excellent Adventure,1989,6.9,50,"138,693",PG,"['Adventure', ' Comedy', ' Music']",90,$40.49M
386,Deja Vu,2006,7.1,59,"321,815",PG-13,"['Action', ' Crime', ' Sci-Fi']",126,$64.04M
387,Soylent Green,1973,7.0,66,"68,741",PG,"['Crime', ' Mystery', ' Sci-Fi']",97,$7.92M
388,In the Shadow of the Moon,2019,6.2,48,"58,544",TV-MA,"['Action', ' Crime', ' Mystery']",115,-
389,Never Let Me Go,2010,7.1,69,"150,677",R,"['Drama', ' Romance', ' Sci-Fi']",103,$2.43M
390,Bats,1999,4.0,23,"11,092",PG-13,"['Horror', ' Sci-Fi', ' Thriller']",91,$10.16M
391,Rise of the Planet of the Apes,2011,7.6,68,"546,914",PG-13,"['Action', ' Drama', ' Sci-Fi']",105,$176.76M
392,John Carter,2012,6.6,51,"281,882",PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,$73.08M
393,Freaked,1993,6.3,58,"7,864",PG-13,"['Comedy', ' Sci-Fi']",80,$0.03M
394,X2,2003,7.4,68,"566,817",PG-13,"['Action', ' Sci-Fi', ' Thriller']",134,$214.95M
395,The Lego Batman Movie,2017,7.3,75,"166,701",PG,"['Animation', ' Action', ' Adventure']",104,$175.75M
396,Battleship,2012,5.8,41,"254,465",PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,$65.42M
397,Skylines,2020,4.8,46,"8,886",R,"['Action', ' Adventure', ' Sci-Fi']",113,-
398,Dragonball Evolution,2009,2.5,45,"78,051",PG,"['Action', ' Adventure', ' Fantasy']",85,$9.35M
399,Stalker,1979,8.1,85,"140,757",Not Rated,"['Drama', ' Sci-Fi']",162,$0.23M
400,Synchronic,2019,6.2,64,"38,201",R,"['Drama', ' Horror', ' Mystery']",102,-
401,Scooby-Doo 2: Monsters Unleashed,2004,5.2,34,"62,697",PG,"['Adventure', ' Comedy', ' Family']",93,$84.22M
402,Mad God,2021,6.8,80,"12,974",Unrated,"['Animation', ' Fantasy', ' Horror']",83,-
403,Howard the Duck,1986,4.7,28,"49,685",PG,"['Action', ' Adventure', ' Comedy']",110,$16.30M
404,The War of the Worlds,1953,7.0,78,"37,686",G,"['Action', ' Sci-Fi', ' Thriller']",85,$4.36M
405,Twilight Zone: The Movie,1983,6.4,44,"40,156",PG,"['Horror', ' Sci-Fi']",101,$29.50M
406,The Iron Giant,1999,8.1,85,"216,932",PG,"['Animation', ' Action', ' Adventure']",86,$23.16M
407,Terminator 3: Rise of the Machines,2003,6.3,66,"412,621",R,"['Action', ' Sci-Fi']",109,$150.37M
408,Assassin's Creed,2016,5.6,36,"205,499",PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,$54.65M
409,Spy Kids 3: Game Over,2003,4.3,57,"64,398",PG,"['Action', ' Adventure', ' Comedy']",84,$111.76M
410,The Mitchells vs the Machines,2021,7.6,81,"121,107",PG,"['Animation', ' Action', ' Adventure']",114,-
411,Wallace & Gromit: The Curse of the Were-Rabbit,2005,7.5,87,"142,795",G,"['Animation', ' Adventure', ' Comedy']",85,$56.11M
412,Men in Black 3,2012,6.8,58,"379,136",PG-13,"['Action', ' Adventure', ' Comedy']",106,$179.02M
413,Boss Level,2020,6.8,56,"75,734",TV-MA,"['Action', ' Adventure', ' Comedy']",100,-
414,The Time Machine,2002,6.0,42,"128,414",PG-13,"['Action', ' Adventure', ' Sci-Fi']",96,$56.68M
415,Space Jam,1996,6.5,59,"207,950",PG,"['Animation', ' Adventure', ' Comedy']",88,$90.46M
416,9,2009,7.0,60,"144,763",PG-13,"['Animation', ' Action', ' Adventure']",79,$31.74M
417,The World's End,2013,6.9,81,"293,307",R,"['Action', ' Comedy', ' Sci-Fi']",109,$26.00M
418,Re-Animator,1985,7.2,73,"69,379",Unrated,"['Comedy', ' Horror', ' Sci-Fi']",84,$2.02M
419,Color Out of Space,2019,6.2,70,"53,722",Unrated,"['Horror', ' Mystery', ' Sci-Fi']",111,-
420,Total Recall,2012,6.2,43,"262,559",PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,$58.88M
421,Mortal Engines,2018,6.1,44,"134,947",PG-13,"['Action', ' Adventure', ' Fantasy']",128,$15.95M
